ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Viral Sinusitis (Disorder),LIVING,868,1000,0.868,86.8
Acute Viral Pharyngitis (Disorder),LIVING,772,1000,0.772,77.2
Acute Bronchitis (Disorder),LIVING,749,1000,0.749,74.9
Otitis Media,LIVING,699,1000,0.699,69.9
Acetaminophen 160 Mg,LIVING,689,1000,0.689,68.9
Acetaminophen 160 Mg Oral Tablet,LIVING,536,1000,0.536,53.6
Amoxicillin 250 Mg / Clavulanate 125 Mg [Augmentin],LIVING,534,1000,0.534,53.4
Streptococcal Sore Throat (Disorder),LIVING,487,1000,0.487,48.7
Penicillin V Potassium 250 Mg,LIVING,390,1000,0.39,39
Acetaminophen 325 Mg Oral Tablet,LIVING,388,1000,0.388,38.8
Sprain Of Ankle,LIVING,367,1000,0.367,36.7
Aspirin 81 Mg Oral Tablet,LIVING,359,1000,0.359,35.9
Dextromethorphan Hydrobromide 1 Mg/Ml,LIVING,355,1000,0.355,35.5
Normal Pregnancy,LIVING,340,1000,0.34,34
Ibuprofen 100 Mg Oral Tablet,LIVING,339,1000,0.339,33.9
Ibuprofen 200 Mg Oral Tablet,LIVING,306,1000,0.306,30.6
Amoxicillin 200 Mg Oral Tablet,LIVING,268,1000,0.268,26.8
Naproxen Sodium 220 Mg Oral Tablet,LIVING,260,1000,0.26,26
Hypertension,LIVING,238,1000,0.238,23.8
Prediabetes,LIVING,232,1000,0.232,23.2
Norinyl 1+50 28 Day Pack,LIVING,212,1000,0.212,21.2
Chronic Sinusitis (Disorder),LIVING,202,1000,0.202,20.2
Concussion With No Loss Of Consciousness,LIVING,200,1000,0.2,20
Sinusitis (Disorder),LIVING,189,1000,0.189,18.9
Sprain Of Wrist,LIVING,188,1000,0.188,18.8
Acute Bacterial Sinusitis (Disorder),LIVING,180,1000,0.18,18
Mestranol / Norethynodrel [Enovid],LIVING,168,1000,0.168,16.8
Ortho Tri Cyclen 28 Day Pack,LIVING,163,1000,0.163,16.3
Penicillin V Potassium 500 Mg,LIVING,161,1000,0.161,16.1
Whiplash Injury To Neck,LIVING,150,1000,0.15,15
Penicillin G 375 Mg/Ml Injectable Solution,LIVING,146,1000,0.146,14.6
Jolivette 28 Day Pack,LIVING,141,1000,0.141,14.1
1 Ml Depo Provera 150 Mg/Ml Injection,LIVING,135,1000,0.135,13.5
Fracture Of Clavicle,LIVING,125,1000,0.125,12.5
Camila 28 Day Pack,LIVING,125,1000,0.125,12.5
Nitrofurantoin 5 Mg/Ml [Furadantin],LIVING,124,1000,0.124,12.4
Phenazopyridine Hydrochloride 100 Mg [Pyridium],LIVING,124,1000,0.124,12.4
Fracture Of Forearm,LIVING,122,1000,0.122,12.2
Laceration Of Thigh,LIVING,117,1000,0.117,11.7
Miscarriage In First Trimester,LIVING,117,1000,0.117,11.7
Laceration Of Hand,LIVING,113,1000,0.113,11.3
Laceration Of Forearm,LIVING,112,1000,0.112,11.2
Errin 28 Day Pack,LIVING,111,1000,0.111,11.1
Fracture Subluxation Of Wrist,LIVING,110,1000,0.11,11
Cefuroxime 250 Mg Oral Tablet,LIVING,107,1000,0.107,10.7
Facial Laceration,LIVING,103,1000,0.103,10.3
Estrostep Fe 28 Day Pack,LIVING,100,1000,0.1,10
0.3 Ml Epinephrine 0.5 Mg/Ml Auto Injector,LIVING,92,1000,0.092,9.2
Laceration Of Foot,LIVING,91,1000,0.091,9.1
Fetus With Chromosomal Abnormality,LIVING,91,1000,0.091,9.1
Fracture Of Ankle,LIVING,90,1000,0.09,9
Allergy To Mould,LIVING,90,1000,0.09,9
Child Attention Deficit Disorder,LIVING,86,1000,0.086,8.6
Meperidine Hydrochloride 50 Mg Oral Tablet,LIVING,86,1000,0.086,8.6
Dander (Animal) Allergy,LIVING,82,1000,0.082,8.2
Antepartum Eclampsia,LIVING,79,1000,0.079,7.9
Doxycycline Monohydrate 50 Mg Oral Tablet,LIVING,79,1000,0.079,7.9
Escherichia Coli Urinary Tract Infection,LIVING,78,1000,0.078,7.8
First Degree Burn,LIVING,77,1000,0.077,7.7
Acetaminophen 325 Mg / Oxycodone Hydrochloride 5 Mg Oral Tablet,LIVING,73,1000,0.073,7.3
Ampicillin 100 Mg/Ml Injectable Solution,LIVING,72,1000,0.072,7.2
Levonorgestrel 0.00354 Mg/Hr [Norplant],LIVING,70,1000,0.07,7
Polyp Of Colon,LIVING,68,1000,0.068,6.8
Preeclampsia,LIVING,66,1000,0.066,6.6
Allergy To Grass Pollen,LIVING,66,1000,0.066,6.6
House Dust Mite Allergy,LIVING,65,1000,0.065,6.5
Mirena 52 Mg Intrauterine System,LIVING,64,1000,0.064,6.4
Nuvaring 0.12/0.015 Mg Per 24hr 21 Day Vaginal Ring,LIVING,63,1000,0.063,6.3
Acetaminophen 325 Mg / Hydrocodone Bitartrate 7.5 Mg Oral Tablet,LIVING,63,1000,0.063,6.3
Allergy To Tree Pollen,LIVING,62,1000,0.062,6.2
Cystitis,LIVING,58,1000,0.058,5.8
Naproxen Sodium 220 Mg [Aleve],LIVING,56,1000,0.056,5.6
Clopidogrel,LIVING,54,1000,0.054,5.4
Concussion With Loss Of Consciousness,LIVING,53,1000,0.053,5.3
Fracture Of Rib,LIVING,52,1000,0.052,5.2
Cefaclor 250 Mg Oral Capsule,LIVING,51,1000,0.051,5.1
Amoxicillin 500 Mg Oral Tablet,LIVING,51,1000,0.051,5.1
Diabetes,LIVING,49,1000,0.049,4.9
Injury Of Tendon Of The Rotator Cuff Of Shoulder,LIVING,49,1000,0.049,4.9
Nexplanon 68 Mg Drug Implant,LIVING,49,1000,0.049,4.9
Acute Allergic Reaction,LIVING,48,1000,0.048,4.8
Prednisone 5 Mg Oral Tablet,LIVING,48,1000,0.048,4.8
Blighted Ovum,LIVING,46,1000,0.046,4.6
24 Hr Metformin Hydrochloride 500 Mg Extended Release Oral Tablet,LIVING,44,1000,0.044,4.4
Second Degree Burn,LIVING,43,1000,0.043,4.3
120 Actuat Fluticasone Propionate 0.044 Mg/Actuat Metered Dose Inhaler,LIVING,42,1000,0.042,4.2
200 Actuat Albuterol 0.09 Mg/Actuat Metered Dose Inhaler,LIVING,42,1000,0.042,4.2
Stroke,LIVING,40,1000,0.04,4
Childhood Asthma,LIVING,40,1000,0.04,4
Trinessa 28 Day Pack,LIVING,40,1000,0.04,4
Appendicitis,LIVING,39,1000,0.039,3.9
History Of Appendectomy,LIVING,39,1000,0.039,3.9
Seasonique 91 Day Pack,LIVING,39,1000,0.039,3.9
Perennial Allergic Rhinitis,LIVING,38,1000,0.038,3.8
Alteplase,LIVING,37,1000,0.037,3.7
Yaz 28 Day Pack,LIVING,37,1000,0.037,3.7
Implanon 68 Mg Drug Implant,LIVING,37,1000,0.037,3.7
Miscarriage In Second Trimester,LIVING,36,1000,0.036,3.6
Allergy To Eggs,LIVING,35,1000,0.035,3.5
Perennial Allergic Rhinitis With Seasonal Variation,LIVING,34,1000,0.034,3.4
